# A 500-star globular cluster sampled from a Plummer model in virial
# equilibrium, so it holds its shape and slowly relaxes.
#
# format: name,mass,px,py,pz,vx,vy,vz,r,g,b[,radius]
@G=1.0
@softening=0.15
@dt=0.002
@timescale=2.0
@zeroMomentum=1
g0,1.6,1.15386,4.07476,-16.5287,-0.271564,-0.898501,0.187185,0.7,0.8,1,0.12
g1,1.6,-1.40508,0.990601,0.943404,2.60256,0.96374,2.94235,0.9412,0.9206,0.8794,0.12
g2,1.6,2.3931,-5.45601,-2.769,-4.67114,-8.82653,1.9943,0.8029,0.8515,0.9485,0.12
g3,1.6,2.6784,3.37613,-1.86113,8.57665,3.45557,-4.02353,0.8592,0.8796,0.9204,0.12
g4,1.6,14.5938,-9.05986,20.0509,4.75716,-0.83672,-0.0423064,0.7,0.8,1,0.12
g5,1.6,5.17855,-22.6295,8.46799,-1.29114,1.26766,-1.78138,0.7,0.8,1,0.12
g6,1.6,6.41862,-8.91185,-0.582487,1.58961,5.26545,-3.29825,0.7,0.8,1,0.12
g7,1.6,2.64325,-3.77944,7.27115,-1.8071,-1.36432,0.838706,0.7417,0.8208,0.9792,0.12
g8,1.6,0.934746,-12.6963,-10.1573,4.22021,-1.16822,-1.55204,0.7,0.8,1,0.12
g9,1.6,0.604823,-0.146904,1.12122,2.32477,7.91148,1.76059,0.9615,0.9308,0.8692,0.12
g10,1.6,3.21622,-19.8905,2.11016,-0.232146,3.19005,-0.93825,0.7,0.8,1,0.12
g11,1.6,5.43545,3.87692,-0.0363564,0.914417,5.01116,0.64203,0.7997,0.8499,0.9501,0.12
g12,1.6,2.49355,-1.08356,-1.48137,-3.30298,6.02017,-6.64072,0.9071,0.9036,0.8964,0.12
g13,1.6,-3.91367,0.0171769,3.50108,2.85857,5.14337,4.29938,0.8425,0.8712,0.9288,0.12
g14,1.6,8.76259,-5.04201,-0.2363,2.96782,0.640394,-5.69807,0.7,0.8,1,0.12
g15,1.6,-3.26633,-5.78678,12.9969,-5.0338,5.14892,0.0825678,0.7,0.8,1,0.12
g16,1.6,-5.69831,-5.12124,2.71034,-0.961322,-0.323365,-6.17442,0.7562,0.8281,0.9719,0.12
g17,1.6,-0.180954,1.15467,0.0688838,0.47988,1.25639,-1.32646,0.9649,0.9324,0.8676,0.12
g18,1.6,-0.577143,5.28101,4.31451,-4.91547,-2.12719,-1.0249,0.7947,0.8473,0.9527,0.12
g19,1.6,2.05917,-2.91558,1.41305,-11.1054,-3.81793,-2.92216,0.8848,0.8924,0.9076,0.12
g20,1.6,0.190102,0.35303,-2.03295,-6.47235,-2.84229,4.88807,0.9378,0.9189,0.8811,0.12
g21,1.6,-8.81715,-1.5765,-12.3397,2.22381,-1.12281,-4.04206,0.7,0.8,1,0.12
g22,1.6,17.9267,3.75966,2.34558,0.16077,2.68233,-2.45902,0.7,0.8,1,0.12
g23,1.6,10.8452,-8.24713,-3.0975,0.512466,-4.27102,-1.44693,0.7,0.8,1,0.12
g24,1.6,4.07927,-27.3611,-5.84113,2.62082,1.56542,1.03592,0.7,0.8,1,0.12
g25,1.6,-1.50126,-6.36022,4.85187,5.90401,0.19279,-7.53275,0.7558,0.8279,0.9721,0.12
g26,1.6,-0.544739,4.36354,-1.2834,6.68485,1.11318,-1.26798,0.8626,0.8813,0.9187,0.12
g27,1.6,-2.3728,-1.67977,-4.07213,-3.37893,2.87489,-2.03131,0.8499,0.8749,0.9251,0.12
g28,1.6,1.20781,-0.818529,1.96086,-7.29164,3.9431,-1.09237,0.9267,0.9133,0.8867,0.12
g29,1.6,-0.0360922,3.37937,-5.36585,-1.73973,4.86506,-6.57012,0.8098,0.8549,0.9451,0.12
g30,1.6,-18.1661,-17.1005,-8.88721,1.74414,-3.92883,-1.0999,0.7,0.8,1,0.12
g31,1.6,-3.14622,-1.3346,-4.15383,-7.74356,-2.52137,3.17685,0.8386,0.8693,0.9307,0.12
g32,1.6,-7.13935,-26.667,-2.1252,1.28092,-2.76866,1.27518,0.7,0.8,1,0.12
g33,1.6,-12.1182,0.0530542,-2.23939,-1.42752,-6.43119,2.20438,0.7,0.8,1,0.12
g34,1.6,6.31661,-0.369498,-10.3001,4.65031,-2.54163,0.0700942,0.7,0.8,1,0.12
g35,1.6,2.38839,-9.13029,0.826961,0.434793,-3.63363,-5.44649,0.7158,0.8079,0.9921,0.12
g36,1.6,-5.08131,-6.72356,-2.55361,7.17842,-1.57066,4.30354,0.7358,0.8179,0.9821,0.12
g37,1.6,-0.0645599,1.17467,-5.63642,-6.49994,-3.32401,1.19121,0.8273,0.8636,0.9364,0.12
g38,1.6,0.80828,-5.71991,-1.2887,7.94577,1.23611,-2.62259,0.8224,0.8612,0.9388,0.12
g39,1.6,2.55663,-0.626925,-0.448749,-7.55989,1.14083,-0.26123,0.9199,0.9099,0.8901,0.12
g40,1.6,-2.25194,4.87199,2.29754,-2.40073,-0.947882,-2.39199,0.8248,0.8624,0.9376,0.12
g41,1.6,-20.6122,13.999,-15.8317,0.999449,2.90868,0.720918,0.7,0.8,1,0.12
g42,1.6,-2.11555,-7.23687,-1.71933,4.47036,-4.64336,-8.49069,0.768,0.834,0.966,0.12
g43,1.6,-3.15159,0.861104,-1.21288,-6.4189,-5.39967,1.65827,0.8955,0.8977,0.9023,0.12
g44,1.6,4.11964,-6.01965,-2.32892,7.83148,4.61507,2.13817,0.7703,0.8351,0.9649,0.12
g45,1.6,-0.654752,1.80511,-2.27567,-4.34947,3.89768,-6.13464,0.9107,0.9053,0.8947,0.12
g46,1.6,-1.16361,-3.13485,0.941421,-2.46637,5.74096,-6.47159,0.8958,0.8979,0.9021,0.12
g47,1.6,-1.70307,2.08415,-5.33388,-5.80724,3.40342,2.67565,0.8208,0.8604,0.9396,0.12
g48,1.6,12.3551,7.0648,-0.321748,1.47441,2.61189,0.226241,0.7,0.8,1,0.12
g49,1.6,0.527676,-5.25781,2.93088,0.784841,-4.93262,-6.05828,0.8187,0.8594,0.9406,0.12
g50,1.6,5.70714,-11.6292,-3.57858,-0.395428,0.129218,7.92571,0.7,0.8,1,0.12
g51,1.6,-3.55522,1.4317,3.13763,-5.39994,-5.95476,3.73646,0.8514,0.8757,0.9243,0.12
g52,1.6,0.613053,2.19321,-2.37314,-0.626766,3.16812,-1.00958,0.9013,0.9007,0.8993,0.12
g53,1.6,-1.86462,-6.27848,-2.4686,2.74317,-0.250817,2.82552,0.79,0.845,0.955,0.12
g54,1.6,5.26534,-1.25458,-7.46423,-0.968154,8.19438,1.29333,0.7234,0.8117,0.9883,0.12
g55,1.6,-3.71655,-4.14303,-0.536883,-2.50152,2.6952,6.57165,0.8323,0.8661,0.9339,0.12
g56,1.6,25.2217,0.391948,-9.28466,-2.41719,-0.531137,-4.43714,0.7,0.8,1,0.12
g57,1.6,0.885301,3.62245,-0.530004,-5.32964,0.492385,0.714307,0.887,0.8935,0.9065,0.12
g58,1.6,4.35935,1.36842,1.79189,-4.52682,1.75012,4.96787,0.8528,0.8764,0.9236,0.12
g59,1.6,0.052137,0.168788,0.40353,6.34759,9.86158,3.68817,0.9868,0.9434,0.8566,0.12
g60,1.6,-11.5437,-16.8918,-10.3661,0.617096,1.05135,1.66946,0.7,0.8,1,0.12
g61,1.6,-1.55751,-4.7369,-2.10542,6.96159,7.67,-0.481,0.8376,0.8688,0.9312,0.12
g62,1.6,3.5783,0.209037,1.38297,-0.246822,-2.03214,-0.492383,0.8847,0.8924,0.9076,0.12
g63,1.6,1.80053,-1.66988,-0.98813,1.32242,1.65817,12.487,0.9206,0.9103,0.8897,0.12
g64,1.6,-0.742828,-1.02269,-6.7776,3.38648,4.74674,1.54521,0.7932,0.8466,0.9534,0.12
g65,1.6,3.29081,-3.97982,2.07691,3.55284,2.07857,-2.0515,0.833,0.8665,0.9335,0.12
g66,1.6,-5.49545,-4.40797,1.43815,-0.0552299,-4.07612,0.0776515,0.7843,0.8421,0.9579,0.12
g67,1.6,1.62529,-1.21373,-3.97797,2.7007,-0.223096,8.76641,0.866,0.883,0.917,0.12
g68,1.6,10.0531,-12.0264,-17.043,0.347236,-4.33339,1.70911,0.7,0.8,1,0.12
